Source,Target,Effect,Type,PMID,data_source
"ARHGAP26","PTK2B","0","Binding","9645946","adhesome.org"
"PTK2B","PXN","0","Binding","11820787","adhesome.org"
"RICS","GAB1","0","Binding","12819203","adhesome.org"
"GRB2","SYK","0","Binding","11964172","adhesome.org"
"SDCBP","SDC4","0","Binding","9391086","adhesome.org"
"SDC4","PRKCA","+","Activation","11916978","adhesome.org"
"ROCK1","PTEN","+","Activation","15793569","adhesome.org"
"DNM2","NCK2","0","Binding","10206341","adhesome.org"
"PXN","CSK","0","Binding","7529872","adhesome.org"
"VASP","PRKCA","+","Activation","14706852","adhesome.org"
"INPPL1","FLNA","0","Binding","15557176","adhesome.org"
"PTK2","PTK2B","+","Activation","16760434","adhesome.org"
"PTK2B","PTK2","+","Activation","16760434","adhesome.org"
"GIT1","PAK1","0","Binding","12006652","adhesome.org"
"VASP","TES","0","Binding","12571287","adhesome.org"
"ITGB1","ITGB3BP","0","Binding","7593198","adhesome.org"
"LPP","ACTN1","0","Binding","12615977","adhesome.org"
"ABL1","PXN","+","Activation","9603926","adhesome.org"
"PALLD","SORBS2","0","Binding","16125169","adhesome.org"
"PTPRF","TRIO","0","Binding","8643598","adhesome.org"
"PTK2B","ABI1","0","Binding","12771190","adhesome.org"
"THY1","PTK2","0","Binding","17027000","adhesome.org"
"SORBS3","INPPL1","0","Binding","16302969","adhesome.org"
"ARHGEF6","RAC1","+","Activation","16492808","adhesome.org"
"PAK1","LIMK1","+","Activation","10559936","adhesome.org"
"PIK3CA","PIP2","_","Inhibition","10761925","adhesome.org"
"CRKL","RAPGEF1","0","Binding","10339478","adhesome.org"
"CTTN","SYK","+","Activation","8636079","adhesome.org"
"PTPN6","PIP3","+","Activation","10508402","adhesome.org"
"PTPN2","SHC1","_","Inhibition","9488479","adhesome.org"
"SYK","CTTN","+","Activation","8636079","adhesome.org"
"SYK","STAT3","+","Activation","10777558","adhesome.org"
"TESK1","RAC1","+","Activation","15169836","adhesome.org"
"CAPN1","VIL2","_","Inhibition","9928947","adhesome.org"
"CAPN1","CBL","_","Inhibition","8695851","adhesome.org"
"CBL","LYN","+","Activation","12149655","adhesome.org"
"ARF1","DDEF2","_","Inhibition","11304556","adhesome.org"
"LASP1","VASP","0","Binding","15465019","adhesome.org"
"LYN","PLCG1","+","Activation","8395016","adhesome.org"
"VCL","SORBS1","0","Binding","17082770","adhesome.org"
"VIL2","PALLD","0","Binding","11598191","adhesome.org"
"PALLD","LASP1","0","Binding","16492705","adhesome.org"
"NF2","SDCBP","0","Binding","11432873","adhesome.org"
"SOS1","ABI1","0","Binding","11003655","adhesome.org"
"PTPN6","CBL","_","Inhibition","11157475","adhesome.org"
"CD47","ITGB1","0","Binding","2277087","adhesome.org"
"GRB2","JUB","0","Binding","10330178","adhesome.org"
"SRC","OSTF1","+","Activation","15135048","adhesome.org"
"TLN1","PIP2","+","Activation","11279249","adhesome.org"
"AKT1","ILK","+","Activation","9736715","adhesome.org"
"SRC","SYK","+","Activation","7513017","adhesome.org"
"RAC1","AKT1","+","Activation","10617634","adhesome.org"
"CRKL","SHC1","0","Binding","9344843","adhesome.org"
"AKT1","SRC","+","Activation","12600984","adhesome.org"
"INPPL1","SORBS3","0","Binding","16302969","adhesome.org"
"HRAS","TIAM1","+","Activation","16203995","adhesome.org"
"PTPN1","SRC","_","Inhibition","1646596","adhesome.org"
"PXN","ILK","0","Binding","11304546","adhesome.org"
"FLNA","PTPN12","0","Binding","16973606","adhesome.org"
"SYK","LYN","+","Activation","7831290","adhesome.org"
"PTPN12","CSK","0","Binding","9287362","adhesome.org"
"INSR","GRB7","0","Binding","10803466","adhesome.org"
"CBL","INPPL1","0","Binding","12504111","adhesome.org"
"SORBS3","MAPK1","+","Activation","15184391","adhesome.org"
"PDPK1","ITGB1","+","Activation","10896934","adhesome.org"
"PPP2CA","PXN","_","Inhibition","12198769","adhesome.org"
"PLD1","RHOA","+","Activation","12593858","adhesome.org"
"RAC1","ARHGAP24","_","Inhibition","15611138","adhesome.org"
"INSR","PRKCA","+","Activation","8463287","adhesome.org"
"SH3KBP1","INPP5D","0","Binding","15090612","adhesome.org"
"PTPN11","SIRPA","_","Inhibition","9062191","adhesome.org"
"ARHGAP26","RHOA","_","Inhibition","8649427","adhesome.org"
"PTPN12","GRB2","0","Binding","9135065","adhesome.org"
"SORBS1","VCL","0","Binding","17082770","adhesome.org"
"ACTN1","PARVB","0","Binding","15159419","adhesome.org"
"VIL2","LAYN","0","Binding","15913605","adhesome.org"
"SOS1","CRKL","0","Binding","9162067","adhesome.org"
"PIK3CA","KALPHA1","0","Binding","10677370","adhesome.org"
"PAK1","BCAR3","+","Activation","14583477","adhesome.org"
"LPXN","SRC","0","Binding","16914530","adhesome.org"
"ACTN1","SORBS2","0","Binding","16125169","adhesome.org"
"PTPN6","PRKCA","+","Activation","11781100","adhesome.org"
"NCK2","PTK2","0","Binding","11950595","adhesome.org"
"PLAUR","ITGA5","0","Binding","14985115","adhesome.org"
"HRAS","VAV1","+","Activation","8289830","adhesome.org"
"DDEF2","PTK2B","+","Activation","10022920","adhesome.org"
"TRIO","PTPRF","0","Binding","8643598","adhesome.org"
"LAYN","VIL2","0","Binding","15913605","adhesome.org"
"PTPN12","ABL1","_","Inhibition","11163214","adhesome.org"
"ITGA5","PLAUR","0","Binding","14985115","adhesome.org"
"ACTN1","VCL","0","Binding","15988023","adhesome.org"
"ITGB1","PPP2CA","0","Binding","15521075","adhesome.org"
"PAK1","NCK2","0","Binding","11557983","adhesome.org"
"SDCBP","PIP2","+","Activation","12086619","adhesome.org"
"SHC1","LYN","0","Binding","7650013","adhesome.org"
"LYN","PTK2","0","Binding","11389892","adhesome.org"
"PIP3","INPP5D","_","Inhibition","8874179","adhesome.org"
"FLNA","ITGB1","0","Binding","11781567","adhesome.org"
"ITGA5","THY1","0","Binding","15897908","adhesome.org"
"ACTB","ARPC2","+","Activation","9600938","adhesome.org"
"RASA1","GNB2L1","0","Binding","11350068","adhesome.org"
"PDPK1","PAK1","+","Activation","10995762","adhesome.org"
"PTK2","DNM2","0","Binding","7597091","adhesome.org"
"PLEC1","ITGB1","0","Binding","10525545","adhesome.org"
"TGFB1I1","NUDT16L1","0","Binding","11805099","adhesome.org"
"STAT3","SYK","+","Activation","10777558","adhesome.org"
"CAV1","DNM2","0","Binding","15811383","adhesome.org"
"PLCG1","PAK1","0","Binding","12085993","adhesome.org"
"CBL","ABL1","_","Inhibition","12475393","adhesome.org"
"PRKCA","TIAM1","+","Activation","10734127","adhesome.org"
"CBL","ABL1","+","Activation","7925293","adhesome.org"
"PLCG1","LYN","+","Activation","8395016","adhesome.org"
"BCAR1","LYN","0","Binding","9581808","adhesome.org"
"BCAR1","FYN","+","Activation","9188452","adhesome.org"
"PLCG1","DAG","+","Activation","10579907","adhesome.org"
"PAK1","ABI1","0","Binding","11956071","adhesome.org"
"PRKCA","PPP2CA","_","Inhibition","9675027","adhesome.org"
"PTK2","NCK2","0","Binding","11950595","adhesome.org"
"PRKCA","TLN1","+","Activation","3080999","adhesome.org"
"GAB1","CRK","0","Binding","10618718","adhesome.org"
"FBLIM1","FLNA","0","Binding","12679033","adhesome.org"
"PIK3CA","BCAR3","+","Activation","15671247","adhesome.org"
"VCL","ACTB","0","Binding","6802502","adhesome.org"
"CAV1","ILK","0","Binding","15654749","adhesome.org"
"SYK","PXN","+","Activation","9590268","adhesome.org"
"BCAR1","PTPRA","_","Inhibition","16814111","adhesome.org"
"SRC","GIT1","+","Activation","14523024","adhesome.org"
"PXN","PTPN11","_","Inhibition","14665621","adhesome.org"
"TLN1","PKD1","0","Binding","11113628","adhesome.org"
"VCL","DMN","0","Binding","11418616","adhesome.org"
"VIL2","CAPN1","_","Inhibition","9928947","adhesome.org"
"PLCG1","PTK2","0","Binding","10430888","adhesome.org"
"TLN1","VCL","0","Binding","2512301","adhesome.org"
"PIK3CA","SH3KBP1","0","Binding","12771190","adhesome.org"
"FYN","KALPHA1","0","Binding","8566014","adhesome.org"
"PRKACA","CAPN1","+","Activation","11909964","adhesome.org"
"PTK2B","BCAR1","0","Binding","8995252","adhesome.org"
"PTPN12","PXN","_","Inhibition","9497381","adhesome.org"
"SRC","ABL1","+","Activation","10500097","adhesome.org"
"ITGB1","CD47","0","Binding","2277087","adhesome.org"
"PPP2CA","VASP","_","Inhibition","7656973","adhesome.org"
"ITGB1","MAPK1","0","Binding","11857080","adhesome.org"
"ACTN1","PTK2","+","Activation","11369769","adhesome.org"
"PLCG1","SHC1","0","Binding","10623845","adhesome.org"
"ILK","AKT1","+","Activation","9736715","adhesome.org"
"SRC","PKD1","+","Activation","11113628","adhesome.org"
"SRC","TIAM1","+","Activation","12810717","adhesome.org"
"INSR","RASA1","+","Activation","1331107","adhesome.org"
"SOS1","CRK","0","Binding","8810325","adhesome.org"
"PRKCA","SHC1","0","Binding","12052829","adhesome.org"
"LYN","SYK","+","Activation","7831290","adhesome.org"
"CBL","PTK2B","0","Binding","11149930","adhesome.org"
"ILK","LIMS1","0","Binding","10022929","adhesome.org"
"IRS1","PTPN11","_","Inhibition","9303488","adhesome.org"
"SRC","GNB2L1","_","Inhibition","9584165","adhesome.org"
"TSPAN1","PRKCA","0","Binding","11325968","adhesome.org"
"PTK2","CAPN1","_","Inhibition","8761450","adhesome.org"
"LASP1","ACTB","0","Binding","12432067","adhesome.org"
"ACTB","ABL1","_","Inhibition","8294516","adhesome.org"
"SDC4","DNM2","0","Binding","15694365","adhesome.org"
"CRK","SOS1","0","Binding","8810325","adhesome.org"
"PIK3CA","VIL2","0","Binding","10377409","adhesome.org"
"ABL1","INPPL1","0","Binding","10194451","adhesome.org"
"PTPRF","PPFIA1","0","Binding","8524829","adhesome.org"
"CBL","PLCG1","0","Binding","12061819","adhesome.org"
"PPM1M","ARHGEF6","0","Binding","11864573","adhesome.org"
"PRKCA","INSR","+","Activation","8463287","adhesome.org"
"ITGB1","PXN","0","Binding","10804218","adhesome.org"
"PIK3CA","BCAR1","0","Binding","10799562","adhesome.org"
"PXN","MAPK8","+","Activation","12853963","adhesome.org"
"ADAM12","PIK3CA","+","Activation","11313349","adhesome.org"
"SDC4","FYN","+","Activation","9952400","adhesome.org"
"CBL","INSR","+","Activation","11997497","adhesome.org"
"PIK3CA","CBL","_","Inhibition","7629144","adhesome.org"
"PAK1","NF2","_","Inhibition","14580336","adhesome.org"
"VAV1","RAC1","+","Activation","9601639","adhesome.org"
"SH3KBP1","SOS1","0","Binding","11071869","adhesome.org"
"AKT1","PIP3","+","Activation","8939574","adhesome.org"
"PRKCA","PTPN12","+","Activation","7520867","adhesome.org"
"SRC","INPPL1","+","Activation","12235291","adhesome.org"
"FLNA","PAK1","0","Binding","12198493","adhesome.org"
"SHC1","PTPN11","0","Binding","10650943","adhesome.org"
"ROCK1","RHOA","+","Activation","8798490","adhesome.org"
"SRC","CAV1","+","Activation","8910575","adhesome.org"
"INSR","PTK2","+","Activation","9507031","adhesome.org"
"CRK","RAC1","0","Binding","12874273","adhesome.org"
"NCK2","PAK1","0","Binding","11557983","adhesome.org"
"PALLD","ACTN1","0","Binding","15147863","adhesome.org"
"SRC","CTTN","+","Activation","9748248","adhesome.org"
"TESK1","CFL1","+","Activation","11294912","adhesome.org"
"FYN","CSK","+","Activation","8262983","adhesome.org"
"CAPN1","CTTN","_","Inhibition","9235918","adhesome.org"
"PTK2","ITGB1","0","Binding","8878413","adhesome.org"
"PTPN11","PXN","_","Inhibition","14665621","adhesome.org"
"CRK","CTTN","0","Binding","15263018","adhesome.org"
"SRC","PTK2","+","Activation","7529876","adhesome.org"
"FBLIM1","VASP","0","Binding","16531412","adhesome.org"
"TIAM1","RAC1","+","Activation","7753201","adhesome.org"
"SDC4","ADAM12","0","Binding","12509413","adhesome.org"
"SOS1","RAC1","+","Activation","9438849","adhesome.org"
"TRPM7","Calcium","+","Activation","11941371","adhesome.org"
"CBL","DNM2","0","Binding","15872089","adhesome.org"
"AKT1","PAK1","+","Activation","14585966","adhesome.org"
"FYN","SOS1","0","Binding","9856337","adhesome.org"
"GRB2","DNM2","0","Binding","8039498","adhesome.org"
"SH3KBP1","ABI1","0","Binding","10858458","adhesome.org"
"PTEN","ROCK1","+","Activation","15793569","adhesome.org"
"FYN","PTPRA","_","Inhibition","12682088","adhesome.org"
"RAC1","RICS","_","Inhibition","12454018","adhesome.org"
"RAC1","TRIO","+","Activation","9464532","adhesome.org"
"RAC1","VAV1","+","Activation","9601639","adhesome.org"
"ROCK1","FLNA","0","Binding","12589795","adhesome.org"
"PLD1","ACTN1","_","Inhibition","10801846","adhesome.org"
"ARHGAP5","RHOA","_","Inhibition","8537347","adhesome.org"
"FYN","PRKCA","+","Activation","12721299","adhesome.org"
"PTPN11","STAT3","_","Inhibition","10409724","adhesome.org"
"PAK1","GRB2","0","Binding","12522133","adhesome.org"
"PIP3","INPPL1","_","Inhibition","9824312","adhesome.org"
"PTK2","FHL2","0","Binding","15161045","adhesome.org"
"LPP","LASP1","0","Binding","15465019","adhesome.org"
"CEACAM1","PTPN6","0","Binding","9867848","adhesome.org"
"RASA1","INSR","+","Activation","1331107","adhesome.org"
"PPP2CA","PRKCA","_","Inhibition","9675027","adhesome.org"
"MAPK8IP3","BCAR1","0","Binding","16141199","adhesome.org"
"ITGA5","PXN","0","Binding","10604475","adhesome.org"
"SH3KBP1","PIK3CA","0","Binding","12771190","adhesome.org"
"PLD1","RAC1","+","Activation","11950936","adhesome.org"
"PTK2","PIK3CA","0","Binding","7537275","adhesome.org"
"RHOA","KTN1","+","Activation","8769096","adhesome.org"
"PXN","p190GAP","0","Binding","10092539","adhesome.org"
"NCK2","ABI1","0","Binding","11557983","adhesome.org"
"NCK2","DOCK1","0","Binding","11240126","adhesome.org"
"VCL","PKD1","0","Binding","11113628","adhesome.org"
"PPP2CA","CAV1","_","Inhibition","14645548","adhesome.org"
"PTK2","FYN","0","Binding","11278857","adhesome.org"
"INPP5D","SH3KBP1","0","Binding","15090612","adhesome.org"
"RHOA","ARHGAP5","_","Inhibition","8537347","adhesome.org"
"CALR","ITGA5","0","Binding","7559457","adhesome.org"
"PXN","NUDT16L1","0","Binding","11805099","adhesome.org"
"PTPN11","PTK2","_","Inhibition","10082579","adhesome.org"
"CBL","SHC1","0","Binding","8621719","adhesome.org"
"FHL2","ITGA5","0","Binding","15117962","adhesome.org"
"FYN","PTPN11","+","Activation","10212213","adhesome.org"
"IP3","Calcium","+","Activation","10579907","adhesome.org"
"INPP5D","LYN","0","Binding","12882960","adhesome.org"
"HSPA2","PTK2","0","Binding","12611892","adhesome.org"
"PRKACA","RHOA","+","Activation","8599934","adhesome.org"
"PTK2","ABI1","0","Binding","12771190","adhesome.org"
"PIP2","VCL","_","Inhibition","8632828","adhesome.org"
"PTPN12","PTK2B","_","Inhibition","11337490","adhesome.org"
"PXN","GAB1","0","Binding","14665621","adhesome.org"
"CSK","FYN","+","Activation","8262983","adhesome.org"
"PRKCA","VIM","+","Activation","2500966","adhesome.org"
"SHC1","SRC","+","Activation","1409579","adhesome.org"
"PTPN6","SYK","_","Inhibition","10458769","adhesome.org"
"CAPN1","FLNA","_","Inhibition","14506720","adhesome.org"
"FYN","PIK3CA","0","Binding","1334406","adhesome.org"
"RHOA","PRKACA","+","Activation","8599934","adhesome.org"
"PDPK1","PTK2B","0","Binding","14585963","adhesome.org"
"INSR","GAB1","+","Activation","10978177","adhesome.org"
"ARHGEF6","GIT1","0","Binding","16373173","adhesome.org"
"RAPGEF1","GRB2","0","Binding","7512734","adhesome.org"
"VASP","ACTB","0","Binding","1318192","adhesome.org"
"PIP5K1C","TLN1","0","Binding","16616931","adhesome.org"
"PAK1","PPM1M","_","Inhibition","11864573","adhesome.org"
"SOS1","SH3KBP1","0","Binding","11071869","adhesome.org"
"TESK1","PARVA","_","Inhibition","15817463","adhesome.org"
"MAPK1","CAPN1","+","Activation","14993287","adhesome.org"
"SIRPA","SHC1","0","Binding","15888547","adhesome.org"
"PTK2","VIL2","0","Binding","11468295","adhesome.org"
"CRK","CBL","0","Binding","8524328","adhesome.org"
"VAV1","PLCG1","0","Binding","17054426","adhesome.org"
"PALLD","PFN1","0","Binding","16367745","adhesome.org"
"PTPN12","p190GAP","_","Inhibition","16513648","adhesome.org"
"CTTN","ACTB","0","Binding","7680654","adhesome.org"
"PTK2","ARHGEF6","+","Activation","17093062","adhesome.org"
"TGFB1I1","PTK2","0","Binding","9858471","adhesome.org"
"PIP3","PTPN6","+","Activation","10508402","adhesome.org"
"VIL2","ROCK1","+","Activation","9856983","adhesome.org"
"SYK","VAV1","+","Activation","8986718","adhesome.org"
"FYN","PTK2B","0","Binding","9104812","adhesome.org"
"PXN","CRK","0","Binding","7537852","adhesome.org"
"ACTB","KEAP1","0","Binding","14764898","adhesome.org"
"DNM2","CBL","0","Binding","15872089","adhesome.org"
"CFL1","TESK1","+","Activation","11294912","adhesome.org"
"LPXN","PTPN12","0","Binding","15786712","adhesome.org"
"SYK","PRKCA","+","Activation","15583006","adhesome.org"
"SYK","PRKCA","+","Activation","9531509","adhesome.org"
"SH3KBP1","DDEF1","0","Binding","15090612","adhesome.org"
"RAPGEF1","SHC1","0","Binding","8621483","adhesome.org"
"PRKCA","FLNA","+","Activation","12704190","adhesome.org"
"DNM2","SDC4","0","Binding","15694365","adhesome.org"
"CEACAM1","PTPN11","0","Binding","9867848","adhesome.org"
"CRK","RICS","0","Binding","12454018","adhesome.org"
"VASP","PFN1","0","Binding","7737110","adhesome.org"
"VIL2","ACTB","0","Binding","7876308","adhesome.org"
"ZYX","ACTN1","0","Binding","10224105","adhesome.org"
"BCAR1","NEDD9","0","Binding","8668148","adhesome.org"
"PARVA","PXN","0","Binding","11134073","adhesome.org"
"ILK","PXN","0","Binding","11304546","adhesome.org"
"PRKACA","PTPN12","+","Activation","7520867","adhesome.org"
"BCAR1","SRC","+","Activation","12972425","adhesome.org"
"PTPN11","GRB2","0","Binding","8702859","adhesome.org"
"PXN","PTPRO","_","Inhibition","11238916","adhesome.org"
"PXN","ABL1","+","Activation","9603926","adhesome.org"
"ILKAP","ILK","0","Binding","11331582","adhesome.org"
"NEDD9","PTPN12","_","Inhibition","9748319","adhesome.org"
"SYK","KALPHA1","+","Activation","10862713","adhesome.org"
"ITGB1","PDPK1","+","Activation","10896934","adhesome.org"
"PXN","KALPHA1","0","Binding","11950600","adhesome.org"
"ACTN1","PLD1","_","Inhibition","10801846","adhesome.org"
"LIMS1","NCK2","0","Binding","12794636","adhesome.org"
"FYN","PXN","0","Binding","7617039","adhesome.org"
"SRC","SHC1","+","Activation","1409579","adhesome.org"
"PXN","PPP2CA","_","Inhibition","12198769","adhesome.org"
"PTPRA","SRC","_","Inhibition","7691597","adhesome.org"
"PTPRA","SRC","+","Activation","7518772","adhesome.org"
"GRB2","IRS1","0","Binding","8491186","adhesome.org"
"CAPN1","ACTN1","_","Inhibition","8617943","adhesome.org"
"GIT1","PXN","0","Binding","11448998","adhesome.org"
"NEDD9","PTK2","0","Binding","8668148","adhesome.org"
"MAPK8","STAT3","+","Activation","10521505","adhesome.org"
"GNB2L1","RASA1","0","Binding","11350068","adhesome.org"
"GRB2","RAPGEF1","0","Binding","7512734","adhesome.org"
"VAV1","HRAS","+","Activation","8289830","adhesome.org"
"RASA1","SRC","+","Activation","1717825","adhesome.org"
"ACTN1","ZYX","0","Binding","10224105","adhesome.org"
"PRKCA","SRC","+","Activation","2996780","adhesome.org"
"PRKCA","SRC","+","Activation","10527887","adhesome.org"
"ARHGEF6","PPM1M","0","Binding","11864573","adhesome.org"
"CRK","PXN","0","Binding","7537852","adhesome.org"
"ITGB1","ACTN1","0","Binding","2116421","adhesome.org"
"STAT3","PTPN11","_","Inhibition","10409724","adhesome.org"
"RICS","CRKL","0","Binding","12446789","adhesome.org"
"CRKL","BCAR1","0","Binding","8810278","adhesome.org"
"VIL2","SLC9A1","0","Binding","11163215","adhesome.org"
"VCL","VASP","0","Binding","8980130","adhesome.org"
"INPP5D","SHC1","0","Binding","9110989","adhesome.org"
"GRB2","PTK2","0","Binding","7997267","adhesome.org"
"ABI1","PAK1","0","Binding","11956071","adhesome.org"
"PRKACA","VASP","+","Activation","8182057","adhesome.org"
"PTPN1","GRB2","0","Binding","10660596","adhesome.org"
"CRKL","PXN","0","Binding","7493940","adhesome.org"
"ACTN1","SDC4","0","Binding","12493766","adhesome.org"
"ILK","CAV1","0","Binding","15654749","adhesome.org"
"PXN","GIT1","0","Binding","11448998","adhesome.org"
"DNM2","CTTN","0","Binding","11018064","adhesome.org"
"SRC","PTK2B","0","Binding","9556630","adhesome.org"
"SRC","STAT3","+","Activation","8657134","adhesome.org"
"ACTB","PAK1","0","Binding","9298982","adhesome.org"
"PIP5K1C","PLD1","0","Binding","11032811","adhesome.org"
"VASP","LPP","0","Binding","12441356","adhesome.org"
"PRKCA","VASP","+","Activation","14706852","adhesome.org"
"CSK","PTK2","0","Binding","7529872","adhesome.org"
"PTPN12","PRKCA","+","Activation","7520867","adhesome.org"
"STAT3","SRC","+","Activation","8657134","adhesome.org"
"PIP2","PFN1","_","Inhibition","2842351","adhesome.org"
"ENG","TRIP6","0","Binding","15148318","adhesome.org"
"ITGB1","SHC1","0","Binding","10964917","adhesome.org"
"ABI1","NCK2","0","Binding","11557983","adhesome.org"
"BCAR3","PAK1","+","Activation","14583477","adhesome.org"
"VIM","PRKCA","+","Activation","2500966","adhesome.org"
"GRB2","PIK3CA","0","Binding","7759531","adhesome.org"
"SRC","DDEF1","+","Activation","9819391","adhesome.org"
"ACTB","PFN1","0","Binding","563468","adhesome.org"
"ITGA5","TSPAN1","0","Binding","10427099","adhesome.org"
"VAV1","RHOA","+","Activation","9601639","adhesome.org"
"PTK2B","DDEF2","+","Activation","10022920","adhesome.org"
"FYN","TGFB1I1","+","Activation","10838081","adhesome.org"
"GRB2","PTPRA","0","Binding","7518772","adhesome.org"
"BCAR1","PIK3CA","0","Binding","10799562","adhesome.org"
"ITGB1","SRC","+","Activation","11723131","adhesome.org"
"NCK2","IRS1","0","Binding","9843575","adhesome.org"
"SDC4","NUDT16L1","0","Binding","10633082","adhesome.org"
"GRB2","CBL","0","Binding","9590251","adhesome.org"
"CAV1","GRB7","0","Binding","11075810","adhesome.org"
"CSK","PRKACA","+","Activation","9224730","adhesome.org"
"GAB1","CRKL","0","Binding","10753869","adhesome.org"
"PTPN6","SRC","_","Inhibition","9261115","adhesome.org"
"PTK2","THY1","0","Binding","17027000","adhesome.org"
"ARHGEF6","PARVB","0","Binding","12499396","adhesome.org"
"ZYX","ENG","0","Binding","15084601","adhesome.org"
"PFN1","VASP","0","Binding","7737110","adhesome.org"
"ADAM12","GRB2","0","Binding","11127814","adhesome.org"
"ARHGAP24","RAC1","_","Inhibition","15611138","adhesome.org"
"SRC","CBL","0","Binding","8635998","adhesome.org"
